Gene Symbol,-2_diff,-1_diff,0_diff,1_diff,2_diff
ADAMTSL4,0.0,-0.41,-9.04,9.3,0.14
ADAMTSL5,0.17,1.7,-20.1,19.7,-1.49
ADAP1,-0.81,-0.72,-56.08,56.63,0.98
ADAP2,-0.03,8.8,-13.87,5.29,-0.2
ADAR,0.0,-0.24,-8.87,9.16,-0.05
ADARB1,0.17,2.65,-8.71,6.11,-0.22
ADARB2,1.5,63.68,-54.57,-9.16,-1.44
ADARB2-AS1,0.47,64.71,-54.57,-10.14,-0.46
ADAT1,0.0,12.39,-15.2,2.81,0.0
ADAT2,-0.22,12.92,-15.5,2.8,0.0
ADAT3,0.17,1.7,-20.27,19.36,-0.98
ADC,-0.2,-29.45,17.96,11.18,0.52
ADCK1,0.14,5.4,-9.06,3.52,0.0
ADCK2,0.0,0.25,-48.1,48.22,-0.37
ADCK3,-0.2,1.3,-9.83,8.58,0.14
ADCK4,0.17,-33.11,7.14,26.43,-0.64
ADCK5,-1.57,5.88,3.03,-4.64,-2.71
ADCY1,0.0,0.94,-55.97,54.99,0.05
ADCY10,0.17,-0.29,-9.43,9.38,0.17
ADCY2,-0.05,0.01,-6.2,6.29,-0.05
ADCY3,0.32,2.33,-5.55,2.73,0.17
ADCY4,-0.2,16.57,-17.58,2.21,-1.0
ADCY5,-0.59,3.32,-11.62,8.72,0.17
ADCY6,-0.81,0.71,-6.14,5.93,0.32
ADCY7,0.17,12.73,-15.58,2.68,0.0
ADCY8,0.0,6.29,2.11,-5.29,-3.11
ADCY9,0.0,8.87,-13.89,4.68,0.34
ADCYAP1,0.0,-0.56,-3.55,4.31,-0.2
ADCYAP1R1,0.0,0.22,-57.59,56.6,0.77
ADD1,0.0,0.34,-3.02,2.88,-0.2
ADD2,0.0,3.42,-5.86,2.27,0.17
ADD3,-0.98,64.59,-63.94,0.14,0.17
ADGB,-0.05,12.4,-15.16,2.8,0.0
ADH1A,-0.22,-7.97,4.52,3.32,0.34
ADH1B,-0.22,-7.97,4.52,3.32,0.34
ADH1C,-0.22,-7.97,4.52,3.32,0.34
ADH4,-0.03,-8.16,4.52,3.32,0.34
ADH5,-0.03,-8.16,4.52,3.32,0.34
ADH6,-0.03,-8.16,4.52,3.32,0.34
ADH7,-0.22,-7.97,4.52,3.32,0.34
ADHFE1,0.0,6.22,-5.93,-0.09,-0.2
ADI1,-0.2,1.69,-4.01,2.41,0.1
ADIG,0.0,2.33,-31.5,28.99,0.17
ADIPOQ,-0.03,1.15,-13.7,11.77,0.81
ADIPOR1,0.0,-0.94,-9.95,10.08,0.81
ADIPOR2,0.34,4.23,-4.6,1.73,-1.71
ADK,0.34,66.94,-67.18,-0.26,0.17
ADM,-1.83,2.83,2.12,-2.73,-0.39
ADM2,1.08,21.79,-22.28,-0.38,-0.22
ADNP,-0.03,2.11,-31.11,29.02,0.0
ADNP2,-0.78,-0.78,-5.25,6.32,0.49
ADO,0.0,67.12,-67.0,-0.09,-0.03
ADORA1,0.0,-0.94,-10.09,10.25,0.78
ADORA2A,0.0,19.97,-21.11,1.73,-0.59
ADORA2B,0.17,9.09,-13.8,4.36,0.17
ADORA3,-0.2,-30.81,20.41,10.59,0.0
ADPGK,0.0,8.33,-12.05,3.19,0.52
ADPRH,-0.59,2.99,-11.32,8.91,0.0
ADPRHL1,-0.2,8.96,-10.81,2.51,-0.46
ADPRHL2,0.0,-30.14,18.28,11.35,0.52
ADRA1A,0.0,8.18,-8.07,0.07,-0.2
ADRA1B,-0.22,-1.58,-3.34,5.53,-0.39
ADRA1D,0.0,1.55,-31.21,30.05,-0.39
ADRA2A,-0.98,63.83,-63.52,0.32,0.34
ADRA2B,0.0,2.86,-5.66,2.63,0.17
ADRA2C,0.0,-0.18,-2.71,3.07,-0.2
ADRB1,-1.57,62.61,-61.56,0.52,0.0
ADRB2,0.0,-0.56,-4.94,5.7,-0.2
ADRB3,0.0,8.06,-7.6,-0.27,-0.2
ADRBK1,0.0,12.9,-6.36,-6.15,-0.39
ADRBK2,0.0,20.68,-21.85,1.59,-0.42
ADRM1,0.0,2.97,-32.04,29.12,-0.05
ADSL,0.17,20.57,-21.54,1.39,-0.59
ADSS,-0.42,-1.18,-9.37,9.44,1.52
ADSSL1,0.34,6.43,-10.66,3.61,0.27
ADTRP,-0.59,7.55,-9.24,2.66,-0.39
AEBP1,0.0,0.94,-55.97,54.96,0.08
AEBP2,0.17,6.47,-7.9,1.92,-0.65
AEN,0.17,8.92,-11.53,2.27,0.17
AES,0.17,1.7,-20.32,19.36,-0.93
AFAP1,-0.03,-0.55,-2.53,3.3,-0.2
AFAP1-AS1,-0.03,-0.55,-2.72,3.3,0.0
AFAP1L1,0.0,-1.07,-4.6,5.87,-0.2
AFAP1L2,-1.57,62.61,-61.56,0.52,0.0
AFF1,-0.2,-7.4,4.5,2.93,0.17
AFF3,0.0,3.03,-6.0,2.63,0.34
AFF4,0.17,-0.75,-4.7,5.47,-0.2
AFG3L1P,0.69,12.22,-16.43,3.52,0.0
AFG3L2,0.0,-1.11,-4.3,5.41,0.0
AFM,-0.59,-6.79,3.91,3.3,0.17
AFMID,0.0,5.07,-10.37,6.33,-1.03
AFP,-0.59,-6.79,3.91,3.3,0.17
AFTPH,0.0,3.25,-5.66,2.41,0.0
AGA,-2.42,-8.47,7.08,3.81,0.0
AGAP1,-2.83,0.79,-0.98,2.85,0.17
AGAP11,-0.03,66.01,-65.71,-0.44,0.17
AGAP2,0.0,-2.73,-12.73,5.8,9.66
AGAP3,0.0,0.77,-49.55,49.33,-0.54
AGAP4,0.17,65.85,-64.92,-0.88,-0.22
AGAP5,0.17,67.11,-67.0,-0.26,0.0
AGAP6,0.52,66.14,-65.39,-0.88,-0.39
AGAP7,0.34,66.12,-65.22,-1.05,-0.2
AGAP8,0.34,66.12,-65.22,-1.05,-0.2
AGAP9,0.17,65.85,-64.92,-0.88,-0.22
AGBL1,0.34,9.06,-12.22,2.46,0.34
AGBL2,0.17,7.17,-3.66,-3.68,0.0
AGBL3,0.0,0.08,-48.5,48.78,-0.37
AGBL4,0.32,-31.49,20.85,10.15,0.17
AGBL5,0.0,2.69,-5.45,2.59,0.17
AGER,0.0,7.92,-10.41,2.68,-0.2
AGFG1,-1.2,0.76,-1.85,2.29,0.0
AGFG2,0.0,0.61,-49.94,49.27,0.05
AGGF1,0.17,0.51,-6.34,5.65,0.0
AGK,-0.03,0.25,-48.28,48.39,-0.34
AGL,-0.2,-31.34,20.95,10.79,-0.2
AGMAT,0.0,-27.98,15.72,12.08,0.17
AGMO,0.0,0.32,-56.12,55.68,0.13
AGPAT1,0.0,7.92,-10.41,2.68,-0.2
AGPAT2,0.0,2.56,-10.59,8.3,-0.26
AGPAT3,-0.2,2.55,-8.63,6.47,-0.2
AGPAT4,0.27,12.77,-15.62,2.58,0.0
